"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-26","7.61",,,,"67","82","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-27","6.04",,,,"68","83","53",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-28","11.18",,,,"75","86","63",,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-29","10.74",,,,"79","89","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-30","8.05",,,,"69","83","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-05-31","13.20",,,,"72","83","60",,,,,,,,,"    1",,"    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-01","9.84",,,,"59","70","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-02","10.96",,,,"69","84","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-03","9.84",,,,"57","65","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-04","7.61",,,,"56","69","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-05","7.61",,,,"50","54","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-06","6.93",,,,"54","64","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-07","8.28",,,,"58","68","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-08","6.93",,,,"60","72","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-09","8.95",,,,"61","68","53",,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-10","7.16",,,,"63","66","59",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-11","6.93",,,,"64","68","59",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-12","12.75",,,,"77","87","66",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-13","9.84",,,,"70","75","64",,,,,,,,,,,,,,"    1",,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-14","6.93",,,,"70","79","61",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-15","6.04",,,,"71","81","60",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-16","9.17",,,,"71","83","59",,,,,,,,,"    1",,,,,"    1",,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-06-17","8.28",,,,"75","85","65",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
